record_id,vendor,category,amount,site_id,approver,submitted_at,is_anomaly,anomaly_type
71,Everest Manpower Contractors,labor,91860.79,SITE-008,A. Fernandes,2025-05-13 12:24:00,0,none
72,Municipal Permits & Fees,misc,32266.43,SITE-009,M. Sharma,2025-03-13 08:23:00,1,unusual_approver
73,SafeSite PPE & Consumables,misc,8854.14,SITE-007,R. Mehta,2025-04-08 08:02:00,0,none
74,PowerLift Cranes & Equipment,equipment,393490.42,SITE-001,J. D'Souza,2025-06-17 14:39:00,1,unusual_approver
75,Zenith Office & Site Supplies,misc,3545.19,SITE-003,S. Kulkarni,2025-02-06 11:12:00,0,none
76,Sagar Labour Solutions,labor,24718.65,SITE-006,A. Fernandes,2025-05-19 08:22:00,0,none
77,Shree Cement Suppliers,materials,24960.05,SITE-001,J. D'Souza,2025-03-17 10:48:00,0,none
78,PowerLift Cranes & Equipment,equipment,277293.03,SITE-007,M. Sharma,2025-04-29 14:03:00,0,none
79,Coastal Scaffolding Rentals,equipment,44682.79,SITE-007,K. Iyer,2025-05-07 18:24:00,0,none
80,Goa Timber & Plywood,materials,13878.34,SITE-002,K. Iyer,2025-01-09 11:26:00,0,none
81,Zenith Office & Site Supplies,misc,7576.18,SITE-008,S. Kulkarni,2025-02-11 11:53:00,0,none
82,PowerLift Cranes & Equipment,equipment,226298.88,SITE-009,R. Mehta,2025-04-23 13:46:00,1,duplicate
83,Everest Manpower Contractors,labor,72532.43,SITE-010,M. Sharma,2025-01-13 17:55:00,0,none
84,Konkan Aggregates Pvt Ltd,materials,23072.32,SITE-005,R. Mehta,2025-01-31 12:14:00,0,none
85,Coastal Scaffolding Rentals,equipment,57461.92,SITE-003,K. Iyer,2025-03-18 12:02:00,0,none
86,Shree Cement Suppliers,materials,59641.68,SITE-002,J. D'Souza,2025-01-08 09:45:00,0,none
87,PowerLift Cranes & Equipment,equipment,112708.2,SITE-007,K. Iyer,2025-04-10 08:33:00,0,none
88,Konkan Aggregates Pvt Ltd,materials,49234.63,SITE-004,N. Rao,2025-05-19 10:38:00,0,none
89,Coastal Scaffolding Rentals,equipment,37978.72,SITE-001,P. Singh,2025-06-13 15:31:00,0,none
90,PowerLift Cranes & Equipment,equipment,231848.33,SITE-010,K. Iyer,2025-06-18 15:40:00,0,none
91,SafeSite PPE & Consumables,misc,8504.84,SITE-009,R. Mehta,2025-03-18 16:19:00,0,none
92,Everest Manpower Contractors,labor,58820.89,SITE-008,P. Singh,2025-05-09 18:21:00,0,none
93,TerraMove Heavy Machinery,equipment,136373.85,SITE-001,M. Sharma,2025-02-24 14:08:00,0,none
94,Sagar Labour Solutions,labor,19786.7,SITE-010,P. Singh,2025-06-23 17:49:00,0,none
95,Union Skilled Workforce,labor,123563.08,SITE-004,R. Mehta,2025-04-04 16:23:00,0,none
96,Zenith Office & Site Supplies,misc,4034.4,SITE-008,J. D'Souza,2025-05-16 09:26:00,0,none
97,PowerLift Cranes & Equipment,equipment,303849.37,SITE-005,M. Sharma,2025-01-23 13:09:00,0,none
98,Coastal Scaffolding Rentals,equipment,93716.76,SITE-004,K. Iyer,2025-01-03 10:07:00,0,none
99,BuildRight Steel & Rebar,materials,22678.07,SITE-002,K. Iyer,2025-05-15 13:11:00,0,none
100,Goa Timber & Plywood,materials,17870.84,SITE-008,K. Iyer,2025-04-10 17:42:00,0,none
101,SafeSite PPE & Consumables,misc,12017.07,SITE-006,R. Mehta,2025-02-07 08:45:00,0,none
102,TerraMove Heavy Machinery,equipment,245090.66,SITE-002,J. D'Souza,2025-01-06 16:24:00,0,none
103,Everest Manpower Contractors,labor,26929.68,SITE-003,P. Singh,2025-05-06 16:51:00,0,none
104,Goa Timber & Plywood,materials,54555.53,SITE-003,J. D'Souza,2025-01-09 11:44:00,0,none
105,Sagar Labour Solutions,labor,37530.53,SITE-007,P. Singh,2025-03-27 16:09:00,0,none
106,Coastal Scaffolding Rentals,equipment,45523.63,SITE-009,K. Iyer,2025-03-25 09:56:00,0,none
107,Sagar Labour Solutions,labor,37976.31,SITE-007,A. Fernandes,2025-04-16 12:09:00,0,none
108,Sagar Labour Solutions,labor,20359.16,SITE-001,P. Singh,2025-01-29 18:27:00,0,none
109,PowerLift Cranes & Equipment,equipment,172180.31,SITE-007,M. Sharma,2025-05-23 18:50:00,0,none
110,Coastal Scaffolding Rentals,equipment,29573.21,SITE-004,P. Singh,2025-06-03 08:34:00,0,none
111,Everest Manpower Contractors,labor,28200.6,SITE-001,P. Singh,2025-03-14 18:15:00,0,none
112,SafeSite PPE & Consumables,misc,10912.51,SITE-008,R. Mehta,2025-05-12 16:57:00,0,none
113,BuildRight Steel & Rebar,materials,43450.62,SITE-004,K. Iyer,2025-05-13 17:51:00,0,none
114,Union Skilled Workforce,labor,32664.44,SITE-003,R. Mehta,2025-01-17 16:48:00,0,none
115,Zenith Office & Site Supplies,misc,6234.37,SITE-007,S. Kulkarni,2025-04-07 08:24:00,0,none
116,Shree Cement Suppliers,materials,44899.97,SITE-007,J. D'Souza,2025-03-12 17:19:00,0,none
117,SafeSite PPE & Consumables,misc,5641.9,SITE-007,R. Mehta,2025-04-16 17:34:00,0,none
118,TerraMove Heavy Machinery,equipment,311186.59,SITE-006,M. Sharma,2025-01-13 16:02:00,0,none
119,Union Skilled Workforce,labor,57645.19,SITE-009,S. Kulkarni,2025-06-03 08:02:00,0,none
120,Zenith Office & Site Supplies,misc,5149.73,SITE-003,J. D'Souza,2025-05-20 16:17:00,0,none
121,Zenith Office & Site Supplies,misc,6228.94,SITE-004,N. Rao,2025-03-17 08:07:00,0,none
122,Everest Manpower Contractors,labor,334286.34,SITE-008,P. Singh,2025-01-07 12:32:00,1,extreme_outlier
123,Goa Timber & Plywood,materials,18640.41,SITE-004,K. Iyer,2025-05-12 18:47:00,0,none
124,Union Skilled Workforce,labor,70837.57,SITE-007,R. Mehta,2025-01-02 11:13:00,0,none
125,Konkan Aggregates Pvt Ltd,materials,10623.32,SITE-004,N. Rao,2025-01-07 11:25:00,0,none
126,Konkan Aggregates Pvt Ltd,materials,13142.03,SITE-001,N. Rao,2025-03-20 11:10:00,0,none
127,Konkan Aggregates Pvt Ltd,materials,24663.46,SITE-006,N. Rao,2025-06-25 11:06:00,0,none
128,SafeSite PPE & Consumables,misc,8503.39,SITE-007,R. Mehta,2025-06-02 09:04:00,0,none
129,Coastal Scaffolding Rentals,equipment,35088.35,SITE-010,K. Iyer,2025-06-27 12:48:00,0,none
130,Coastal Scaffolding Rentals,equipment,21509.43,SITE-003,K. Iyer,2025-06-24 14:23:00,0,none
131,Union Skilled Workforce,labor,56102.39,SITE-008,S. Kulkarni,2025-06-17 17:45:00,0,none
132,Union Skilled Workforce,labor,44088.82,SITE-003,R. Mehta,2025-04-07 15:05:00,0,none
133,Goa Timber & Plywood,materials,22802.67,SITE-007,N. Rao,2025-04-21 16:49:00,0,none
134,SafeSite PPE & Consumables,misc,8524.6,SITE-002,R. Mehta,2025-03-27 18:39:00,0,none
135,BuildRight Steel & Rebar,materials,222935.28,SITE-005,K. Iyer,2025-04-22 18:50:00,0,none
136,Everest Manpower Contractors,labor,35012.21,SITE-005,A. Fernandes,2025-02-17 09:03:00,0,none
137,Zenith Office & Site Supplies,misc,7083.43,SITE-006,S. Kulkarni,2025-03-20 11:38:00,0,none
138,Shree Cement Suppliers,materials,35379.32,SITE-009,J. D'Souza,2025-03-13 08:32:00,0,none
139,TerraMove Heavy Machinery,equipment,136742.85,SITE-005,M. Sharma,2025-06-06 16:09:00,0,none
140,Sagar Labour Solutions,labor,12996.32,SITE-003,A. Fernandes,2025-03-27 12:31:00,0,none
141,Goa Timber & Plywood,materials,27113.97,SITE-006,K. Iyer,2025-05-12 16:11:00,0,none
142,Municipal Permits & Fees,misc,11824.17,SITE-001,J. D'Souza,2025-01-02 18:55:00,0,none
143,Municipal Permits & Fees,misc,11840.42,SITE-002,J. D'Souza,2025-04-24 16:25:00,0,none
144,Union Skilled Workforce,labor,94014.8,SITE-006,S. Kulkarni,2025-02-13 18:28:00,0,none
145,BuildRight Steel & Rebar,materials,64103.96,SITE-001,K. Iyer,2025-04-03 09:00:00,0,none
146,Konkan Aggregates Pvt Ltd,materials,15762.45,SITE-003,N. Rao,2025-04-21 15:52:00,0,none
147,Union Skilled Workforce,labor,77864.66,SITE-010,S. Kulkarni,2025-05-20 08:30:00,0,none
148,SafeSite PPE & Consumables,misc,5531.22,SITE-006,N. Rao,2025-05-12 11:56:00,0,none
149,Coastal Scaffolding Rentals,equipment,36740.93,SITE-010,P. Singh,2025-03-12 12:46:00,0,none
150,SafeSite PPE & Consumables,misc,10560.93,SITE-004,R. Mehta,2025-04-29 14:43:00,0,none
151,Zenith Office & Site Supplies,misc,8760.76,SITE-006,N. Rao,2025-06-23 17:12:00,0,none
152,SafeSite PPE & Consumables,misc,7991.43,SITE-006,N. Rao,2025-06-18 15:24:00,0,none
153,BuildRight Steel & Rebar,materials,81283.09,SITE-005,R. Mehta,2025-06-03 08:39:00,0,none
154,Zenith Office & Site Supplies,misc,10007.75,SITE-004,S. Kulkarni,2025-04-18 09:29:00,0,none
155,Everest Manpower Contractors,labor,51640.16,SITE-002,A. Fernandes,2025-03-28 10:31:00,0,none
156,Union Skilled Workforce,labor,44604.8,SITE-003,S. Kulkarni,2025-03-28 09:44:00,0,none
157,BuildRight Steel & Rebar,materials,96118.16,SITE-003,K. Iyer,2025-02-13 11:43:00,0,none
158,Zenith Office & Site Supplies,misc,7869.54,SITE-006,J. D'Souza,2025-03-10 16:50:00,0,none
159,Coastal Scaffolding Rentals,equipment,39905.38,SITE-007,K. Iyer,2025-03-27 10:20:00,0,none
160,SafeSite PPE & Consumables,misc,3520.2,SITE-006,N. Rao,2025-06-27 15:32:00,0,none
161,Sagar Labour Solutions,labor,46139.82,SITE-009,P. Singh,2025-04-28 14:17:00,0,none
162,Konkan Aggregates Pvt Ltd,materials,15792.97,SITE-003,R. Mehta,2025-03-10 08:23:00,0,none
163,SafeSite PPE & Consumables,misc,5475.03,SITE-005,N. Rao,2025-03-27 16:45:00,0,none
164,SafeSite PPE & Consumables,misc,9033.97,SITE-004,R. Mehta,2025-06-26 10:24:00,0,none
165,Goa Timber & Plywood,materials,13086.71,SITE-010,N. Rao,2025-01-23 10:05:00,0,none
166,Union Skilled Workforce,labor,66527.46,SITE-003,S. Kulkarni,2025-01-08 16:26:00,0,none
167,PowerLift Cranes & Equipment,equipment,40250.18,SITE-001,M. Sharma,2025-05-17 14:41:00,1,off_hours
168,SafeSite PPE & Consumables,misc,9351.22,SITE-002,N. Rao,2025-02-17 12:16:00,0,none
169,SafeSite PPE & Consumables,misc,15922.12,SITE-003,J. D'Souza,2025-05-12 11:04:00,1,unusual_approver
170,Municipal Permits & Fees,misc,14662.23,SITE-010,N. Rao,2025-06-03 14:03:00,0,none
171,PowerLift Cranes & Equipment,equipment,266694.91,SITE-006,R. Mehta,2025-02-25 08:40:00,0,none
172,Shree Cement Suppliers,materials,49855.58,SITE-007,M. Sharma,2025-05-07 11:47:00,0,none
173,Coastal Scaffolding Rentals,equipment,39015.48,SITE-001,K. Iyer,2025-04-02 14:56:00,0,none
174,Sagar Labour Solutions,labor,33983.15,SITE-006,K. Iyer,2025-02-04 09:07:00,0,none
175,SafeSite PPE & Consumables,misc,10666.68,SITE-008,R. Mehta,2025-03-19 18:41:00,0,none
176,Coastal Scaffolding Rentals,equipment,64853.87,SITE-007,P. Singh,2025-06-12 12:30:00,0,none
177,Municipal Permits & Fees,misc,12927.3,SITE-007,J. D'Souza,2025-02-05 11:23:00,0,none
178,Konkan Aggregates Pvt Ltd,materials,19107.19,SITE-007,N. Rao,2025-03-14 08:54:00,0,none
179,Union Skilled Workforce,labor,63855.43,SITE-006,R. Mehta,2025-02-28 18:43:00,0,none
180,PowerLift Cranes & Equipment,equipment,98193.6,SITE-007,R. Mehta,2025-04-29 11:48:00,0,none
181,Zenith Office & Site Supplies,misc,3156.54,SITE-002,J. D'Souza,2025-05-19 13:59:00,0,none
182,Everest Manpower Contractors,labor,45431.95,SITE-006,M. Sharma,2025-03-18 10:36:00,0,none
183,Sagar Labour Solutions,labor,300000.0,SITE-004,K. Iyer,2025-05-12 12:15:00,1,round_number
184,Konkan Aggregates Pvt Ltd,materials,31071.68,SITE-003,N. Rao,2025-04-18 17:21:00,0,none
185,Konkan Aggregates Pvt Ltd,materials,15792.97,SITE-003,R. Mehta,2025-05-24 16:17:00,1,off_hours
186,Municipal Permits & Fees,misc,18645.88,SITE-003,J. D'Souza,2025-03-11 16:59:00,0,none
187,Coastal Scaffolding Rentals,equipment,33924.64,SITE-001,P. Singh,2025-05-13 15:45:00,0,none
188,TerraMove Heavy Machinery,equipment,86616.22,SITE-003,M. Sharma,2025-02-19 11:57:00,0,none
189,TerraMove Heavy Machinery,equipment,75270.77,SITE-001,J. D'Souza,2025-02-14 11:30:00,0,none
190,PowerLift Cranes & Equipment,equipment,137760.63,SITE-001,K. Iyer,2025-02-21 09:44:00,0,none
191,BuildRight Steel & Rebar,materials,29148.9,SITE-010,R. Mehta,2025-04-04 13:06:00,0,none
192,BuildRight Steel & Rebar,materials,63533.02,SITE-001,R. Mehta,2025-03-27 11:37:00,0,none
193,Coastal Scaffolding Rentals,equipment,135377.77,SITE-007,J. D'Souza,2025-05-27 17:30:00,1,unusual_approver
194,Shree Cement Suppliers,materials,22284.44,SITE-006,J. D'Souza,2025-01-03 14:26:00,0,none
195,PowerLift Cranes & Equipment,equipment,455300.1,SITE-008,K. Iyer,2025-03-25 08:31:00,0,none
196,BuildRight Steel & Rebar,materials,78362.64,SITE-002,K. Iyer,2025-03-05 09:17:00,0,none
197,BuildRight Steel & Rebar,materials,93646.12,SITE-010,K. Iyer,2025-02-27 11:17:00,0,none
198,Coastal Scaffolding Rentals,equipment,61959.97,SITE-009,K. Iyer,2025-01-20 09:58:00,0,none
199,Municipal Permits & Fees,misc,11664.4,SITE-006,K. Iyer,2025-05-07 18:00:00,0,none
200,TerraMove Heavy Machinery,equipment,127497.76,SITE-010,J. D'Souza,2025-06-07 08:59:00,1,off_hours
201,TerraMove Heavy Machinery,equipment,129922.46,SITE-008,M. Sharma,2025-01-28 10:14:00,0,none
202,Everest Manpower Contractors,labor,242983.54,SITE-001,M. Sharma,2025-02-06 12:52:00,1,extreme_outlier
203,PowerLift Cranes & Equipment,equipment,60970.62,SITE-008,M. Sharma,2025-04-29 11:44:00,0,none
204,Everest Manpower Contractors,labor,37693.98,SITE-008,M. Sharma,2025-03-17 15:24:00,0,none
205,Municipal Permits & Fees,misc,10818.64,SITE-004,K. Iyer,2025-02-10 13:43:00,1,duplicate
206,Everest Manpower Contractors,labor,44000.86,SITE-004,A. Fernandes,2025-05-14 17:00:00,0,none
207,Everest Manpower Contractors,labor,60664.36,SITE-002,A. Fernandes,2025-04-15 12:25:00,0,none
208,Zenith Office & Site Supplies,misc,4730.93,SITE-004,S. Kulkarni,2025-04-09 17:33:00,0,none
209,Konkan Aggregates Pvt Ltd,materials,24333.15,SITE-001,N. Rao,2025-06-11 11:43:00,0,none
210,Coastal Scaffolding Rentals,equipment,66639.28,SITE-002,K. Iyer,2025-01-01 09:35:00,0,none
211,Coastal Scaffolding Rentals,equipment,31699.15,SITE-002,P. Singh,2025-03-05 15:32:00,0,none
212,Goa Timber & Plywood,materials,11161.65,SITE-002,N. Rao,2025-03-28 16:55:00,0,none
213,Konkan Aggregates Pvt Ltd,materials,25010.02,SITE-008,N. Rao,2025-05-21 15:28:00,0,none
214,Zenith Office & Site Supplies,misc,9710.15,SITE-002,N. Rao,2025-02-07 12:55:00,0,none
215,PowerLift Cranes & Equipment,equipment,61620.98,SITE-004,R. Mehta,2025-04-04 13:42:00,0,none
216,Union Skilled Workforce,labor,102227.83,SITE-006,R. Mehta,2025-02-21 18:55:00,0,none
217,Municipal Permits & Fees,misc,49171.56,SITE-005,R. Mehta,2025-02-18 09:20:00,1,unusual_approver
218,SafeSite PPE & Consumables,misc,5777.4,SITE-005,R. Mehta,2025-02-03 10:52:00,0,none
219,Konkan Aggregates Pvt Ltd,materials,14251.92,SITE-001,R. Mehta,2025-02-03 09:22:00,0,none
220,Union Skilled Workforce,labor,46225.94,SITE-008,R. Mehta,2025-05-19 17:22:00,0,none
221,PowerLift Cranes & Equipment,equipment,153512.04,SITE-002,M. Sharma,2025-06-18 09:43:00,0,none
222,SafeSite PPE & Consumables,misc,250000.0,SITE-009,N. Rao,2025-04-25 13:31:00,1,round_number
223,SafeSite PPE & Consumables,misc,8370.41,SITE-008,N. Rao,2025-04-30 12:18:00,0,none
224,Konkan Aggregates Pvt Ltd,materials,24714.66,SITE-010,R. Mehta,2025-05-20 18:32:00,0,none
225,BuildRight Steel & Rebar,materials,300000.0,SITE-004,R. Mehta,2025-01-21 10:34:00,1,round_number
226,Konkan Aggregates Pvt Ltd,materials,63328.39,SITE-001,N. Rao,2025-04-28 10:08:00,0,none
227,Goa Timber & Plywood,materials,21897.36,SITE-004,J. D'Souza,2025-05-23 12:03:00,0,none
228,Goa Timber & Plywood,materials,19240.4,SITE-002,N. Rao,2025-05-22 09:05:00,0,none
229,SafeSite PPE & Consumables,misc,6762.2,SITE-007,N. Rao,2025-03-26 09:21:00,0,none
230,BuildRight Steel & Rebar,materials,80850.21,SITE-005,K. Iyer,2025-06-20 15:23:00,0,none
231,Municipal Permits & Fees,misc,17379.56,SITE-004,N. Rao,2025-02-21 17:21:00,0,none
232,Coastal Scaffolding Rentals,equipment,55344.12,SITE-003,K. Iyer,2025-06-25 11:06:00,0,none
233,Zenith Office & Site Supplies,misc,6129.39,SITE-005,S. Kulkarni,2025-05-22 14:08:00,0,none
234,Sagar Labour Solutions,labor,27259.88,SITE-001,P. Singh,2025-01-23 09:11:00,0,none
235,TerraMove Heavy Machinery,equipment,154543.89,SITE-005,M. Sharma,2025-03-31 16:33:00,0,none
236,Sagar Labour Solutions,labor,26230.69,SITE-005,A. Fernandes,2025-02-10 18:31:00,0,none
237,Goa Timber & Plywood,materials,31204.53,SITE-007,N. Rao,2025-04-02 11:49:00,0,none
238,Municipal Permits & Fees,misc,700000.0,SITE-006,J. D'Souza,2025-05-14 13:20:00,1,round_number
239,BuildRight Steel & Rebar,materials,42342.75,SITE-007,R. Mehta,2025-04-09 01:20:00,1,off_hours
240,BuildRight Steel & Rebar,materials,55491.6,SITE-008,R. Mehta,2025-02-25 08:40:00,0,none
241,TerraMove Heavy Machinery,equipment,74259.32,SITE-009,J. D'Souza,2025-01-30 08:45:00,1,duplicate
242,Coastal Scaffolding Rentals,equipment,300000.0,SITE-002,P. Singh,2025-06-18 14:24:00,1,round_number
243,SafeSite PPE & Consumables,misc,12798.05,SITE-001,R. Mehta,2025-04-07 08:49:00,0,none
244,Municipal Permits & Fees,misc,14815.59,SITE-003,K. Iyer,2025-04-11 12:58:00,0,none
245,SafeSite PPE & Consumables,misc,11041.96,SITE-009,R. Mehta,2025-04-08 08:56:00,0,none
246,SafeSite PPE & Consumables,misc,13713.99,SITE-003,R. Mehta,2025-01-17 14:19:00,0,none
247,SafeSite PPE & Consumables,misc,6817.78,SITE-003,R. Mehta,2025-02-19 09:15:00,0,none
248,Zenith Office & Site Supplies,misc,5210.45,SITE-001,S. Kulkarni,2025-05-27 13:04:00,0,none
249,Coastal Scaffolding Rentals,equipment,24890.81,SITE-010,P. Singh,2025-06-06 13:33:00,0,none
250,Everest Manpower Contractors,labor,55028.22,SITE-003,P. Singh,2025-03-26 11:23:00,0,none
251,SafeSite PPE & Consumables,misc,10215.41,SITE-006,R. Mehta,2025-03-03 10:36:00,0,none
252,SafeSite PPE & Consumables,misc,16143.95,SITE-005,R. Mehta,2025-06-18 13:03:00,0,none
253,PowerLift Cranes & Equipment,equipment,140750.3,SITE-004,R. Mehta,2025-02-05 12:37:00,0,none
254,Shree Cement Suppliers,materials,49829.45,SITE-009,M. Sharma,2025-06-02 13:22:00,0,none
255,Union Skilled Workforce,labor,93190.15,SITE-001,S. Kulkarni,2025-04-14 11:33:00,0,none
256,Shree Cement Suppliers,materials,28707.52,SITE-008,M. Sharma,2025-03-25 11:46:00,0,none
